name, machines, processes, seq, mpi, mpi-cuda, mpi-omp, mpi-omp-cuda
porsche.gif, 1,1,62,189,377,148,309
1.gif, 1,1,685,895,1840,724,676
1.gif, 1,1,685,1088,1113,713,736
1.gif, 4, 20,627,1543,1545,1952,1740
1.gif,20,20,628,1634,993,2265,987
totoro.gif,1,1,13558,43141,15333,14328,4508
totoro.gif,4,20,13543,8704,6585,11275,9366
totoro.gif,20,20,13642,5682,6419,6202,5723
campusplan.gif, 1,1, 14637,17805,20027,17383,14665
campusplan,4,20,14671,84246,70650,39541,38203
campusplan.gif, 20,20, 14589,49413,48546,43828,41673
perpetual.gif, 1, 1, 8191,10886,81670,6878,23129
porsche.gif, 1, 1, 76, 213, 390, 207, 370
porsche.gif, 4, 20, 69, 744, 342, 588, 584
porsche.gif, 20, 20, 412, 390, 357, 728, 350
porsche.gif, 40, 40, 71, 474, 614, 557, 480
totoro.gif, 1, 1, 16488, 32103, 13513, 124092, 4884
totoro.gif, 4, 20, 15912, 6804, 9045, 8731, 10980
totoro.gif, 20, 20, 14413, 6255, 6705, 7947, 5917
totoro.gif, 40, 40, 14715, 6109, 6773, 8447, 6050
fire.gif, 1, 1, 70, 226, 288, 219, 529
fire.gif, 4, 20, 86, 429, 4739, 1351, 1494
fire.gif, 20, 20, 64, 583, 552, 624, 470
fire.gif, 40, 40, 64, 332, 616, 828, 528
TimelyHugeGnu.gif, 1, 1, 923, 1186, 1282, 1200, 1006
TimelyHugeGnu.gif, 4, 20, 855, 1422, 1537, 2310, 1947
TimelyHugeGnu.gif, 20, 20, 857, 1668, 1502, 2336, 1506
TimelyHugeGnu.gif, 40, 40, 857, 1451, 1581, 3516, 2350
perpetual.gif, 1, 1, 8375, 9342, 69919, 6885, 38768
perpetual.gif, 4, 20, 8206, 6169, 7227, 8576, 8593
perpetual.gif, 20, 20, 8108, 7349, 8332, 7494, 8259
perpetual.gif, 40, 40, 8179, 8313, 8207, 9186, 8438
